trading_date,spread_name,5day_ret_0931_rank,5day_ret_0931_rank_mxm
2021/7/1,Spread_Port_06,0.003815341,0.13519222
2021/7/2,Spread_Port_01,0.00332049,0.12755743
2021/7/2,Spread_Port_02,-0.000878989,-0.010524263
2021/7/2,Spread_Port_03,-0.005735875,-0.15208861
2021/7/2,Spread_Port_04,0.003499156,-0.04826325
2021/7/2,Spread_Port_05,-0.001199001,0.04195009
2021/7/2,Spread_Port_06,0.001085829,0.065928616
2021/7/5,Spread_Port_01,0.003586489,0.13858557
2021/7/5,Spread_Port_02,-0.000624566,-0.003780242
2021/7/5,Spread_Port_03,-0.005889148,-0.1549979
2021/7/5,Spread_Port_04,0.000720236,-0.09932155
2021/7/5,Spread_Port_05,-0.002016121,0.035436943
2021/7/5,Spread_Port_06,0.00432741,0.16456603
2021/7/6,Spread_Port_01,0.004303654,0.18513604
2021/7/6,Spread_Port_02,-0.002340849,-0.06945842
2021/7/6,Spread_Port_03,-0.002724439,-0.09513919
2021/7/6,Spread_Port_04,-0.004189584,-0.1725913
2021/7/6,Spread_Port_05,-0.000932924,0.028972313
2021/7/6,Spread_Port_06,0.006000034,0.1896467
2021/7/7,Spread_Port_01,0.004369219,0.18562222
2021/7/7,Spread_Port_02,-0.002137307,-0.06983647
2021/7/7,Spread_Port_03,-0.002412825,-0.043369047
2021/7/7,Spread_Port_04,-0.003368819,-0.14275275
2021/7/7,Spread_Port_05,-0.00178986,0.008810187
2021/7/7,Spread_Port_06,0.005343952,0.17928189
2021/7/8,Spread_Port_01,0.004800559,0.17583062
2021/7/8,Spread_Port_02,-0.0009132,-0.024588315
2021/7/8,Spread_Port_03,-0.004657146,-0.07830675
2021/7/8,Spread_Port_04,-7.51E-06,-0.10847449
2021/7/8,Spread_Port_05,-0.002567143,0.010621041
2021/7/8,Spread_Port_06,0.003440677,0.11963847
2021/7/9,Spread_Port_01,0.003900875,0.15069032
2021/7/9,Spread_Port_02,-0.003977725,-0.119921535
2021/7/9,Spread_Port_03,-0.006172867,-0.094505906
2021/7/9,Spread_Port_04,0.0017329,-0.0824468
2021/7/9,Spread_Port_05,-2.63E-05,0.047405005
2021/7/9,Spread_Port_06,0.004685632,0.1392502
2021/7/12,Spread_Port_01,0.004252078,0.16007252
2021/7/12,Spread_Port_02,-0.001936696,-0.05373594
2021/7/12,Spread_Port_03,-0.006279274,-0.104415484
2021/7/12,Spread_Port_04,0.000720236,-0.09932155
2021/7/12,Spread_Port_05,-0.000361807,0.04800781
2021/7/12,Spread_Port_06,0.00386711,0.114871934
2021/7/13,Spread_Port_01,0.004476881,0.16466908
2021/7/13,Spread_Port_02,0.000535095,0.030184649
2021/7/13,Spread_Port_03,-0.003042486,-0.04080334
2021/7/13,Spread_Port_04,0.000379392,-0.11025744
2021/7/13,Spread_Port_05,-0.004274938,-0.053054273
2021/7/13,Spread_Port_06,0.00210377,0.04418078
2021/7/14,Spread_Port_01,0.003860885,0.1589724
2021/7/14,Spread_Port_02,-0.005001279,-0.13598998
2021/7/14,Spread_Port_03,-0.006036217,-0.09152466
2021/7/14,Spread_Port_04,0.002678427,-0.061028138
2021/7/14,Spread_Port_05,-0.000293144,0.013483297
2021/7/14,Spread_Port_06,0.004830618,0.15298708
2021/7/15,Spread_Port_01,0.001942698,0.059964728
2021/7/15,Spread_Port_02,-0.005900454,-0.12861954
2021/7/15,Spread_Port_03,-0.00462005,-0.050020937
2021/7/15,Spread_Port_04,0.003068669,0.06696479
2021/7/15,Spread_Port_05,0.000177104,-0.027924886
2021/7/15,Spread_Port_06,0.005368226,0.13860948
2021/7/19,Spread_Port_01,-0.000697196,0.03398591
2021/7/19,Spread_Port_02,0.004409504,0.13858926
2021/7/19,Spread_Port_03,-0.003406962,-0.1063164
2021/7/19,Spread_Port_04,0.007179372,0.16554095
2021/7/19,Spread_Port_05,-0.001583855,-0.12788747
2021/7/19,Spread_Port_06,-0.005916453,-0.1426345
2021/7/20,Spread_Port_01,-0.001590473,0.021754181
2021/7/20,Spread_Port_02,0.003660727,0.13221152
2021/7/20,Spread_Port_03,-0.003541072,-0.09804611
2021/7/20,Spread_Port_04,0.005165427,0.10086422
2021/7/20,Spread_Port_05,-0.000944461,-0.10095323
2021/7/20,Spread_Port_06,-0.002604553,-0.08120991
2021/7/21,Spread_Port_01,-0.000334507,0.037737265
2021/7/21,Spread_Port_02,0.002700537,0.09115219
2021/7/21,Spread_Port_03,-0.003672004,-0.11108841
2021/7/21,Spread_Port_04,0.005769789,0.13628514
2021/7/21,Spread_Port_05,-0.000891779,-0.079730205
2021/7/21,Spread_Port_06,-0.003334197,-0.10463136
2021/7/22,Spread_Port_01,0.000339734,0.06247876
2021/7/22,Spread_Port_02,0.00417636,0.13014305
2021/7/22,Spread_Port_03,-0.003340085,-0.096812665
2021/7/22,Spread_Port_04,0.004734744,0.10849828
2021/7/22,Spread_Port_05,-0.001338335,-0.09010158
2021/7/22,Spread_Port_06,-0.004298055,-0.12453997
2021/7/23,Spread_Port_01,0.00097234,0.03338539
2021/7/23,Spread_Port_02,0.00454767,0.14685956
2021/7/23,Spread_Port_03,-0.00376805,-0.10110659
2021/7/23,Spread_Port_04,0.004200195,0.08799209
2021/7/23,Spread_Port_05,-0.001550009,-0.099847734
2021/7/23,Spread_Port_06,-0.004154935,-0.12016459
2021/7/26,Spread_Port_01,0.001186845,0.03041072
2021/7/26,Spread_Port_02,0.003302042,0.11059209
2021/7/26,Spread_Port_03,-0.003625408,-0.13557222
2021/7/26,Spread_Port_04,0.00649292,0.16323426
2021/7/26,Spread_Port_05,-0.000994546,-0.043073177
2021/7/26,Spread_Port_06,-0.006228769,-0.16429901
2021/7/27,Spread_Port_01,0.001299153,0.014535276
2021/7/27,Spread_Port_02,0.005555796,0.17100635
2021/7/27,Spread_Port_03,-0.003007047,-0.091557965
2021/7/27,Spread_Port_04,0.004977392,0.16161354
2021/7/27,Spread_Port_05,-0.002760698,-0.11425132
2021/7/27,Spread_Port_06,-0.005915599,-0.17681782
2021/7/28,Spread_Port_01,-0.003571502,-0.15855432
2021/7/28,Spread_Port_02,0.002823965,0.091608874
2021/7/28,Spread_Port_03,-0.003626251,-0.14117059
2021/7/28,Spread_Port_04,0.008779277,0.23078589
2021/7/28,Spread_Port_05,0.001171564,0.026419165
2021/7/28,Spread_Port_06,-0.005383229,-0.15879087
2021/7/29,Spread_Port_01,-0.002961001,-0.12170028
2021/7/29,Spread_Port_02,0.002430801,0.09936087
2021/7/29,Spread_Port_03,-0.003500567,-0.08678451
2021/7/29,Spread_Port_04,0.006784312,0.21204859
2021/7/29,Spread_Port_05,0.000255021,-0.017450318
2021/7/29,Spread_Port_06,-0.002759977,-0.115089074
2021/7/30,Spread_Port_01,-0.003710588,-0.14102395
2021/7/30,Spread_Port_02,0.001819725,0.086152785
2021/7/30,Spread_Port_03,-0.003049663,-0.044526376
2021/7/30,Spread_Port_04,0.00578129,0.1824946
2021/7/30,Spread_Port_05,0.001658702,0.030716196
2021/7/30,Spread_Port_06,-0.002263732,-0.123420455
2021/8/2,Spread_Port_01,-0.005152837,-0.18089922
2021/8/2,Spread_Port_02,0.001330054,0.07804091
2021/8/2,Spread_Port_03,-0.002706244,-0.03794676
2021/8/2,Spread_Port_04,0.005990745,0.17980812
